Phoneme1	Phoneme2	Difference	Max/Dep	BeIdentical	Sonority	Continuant	Place	Backness	Stridency	Rounding	Voicing	Nasality	Lateral	Tense	Tone	Syllabic
zh	ng	 6.17	 0	 1	 1	 1	 1	 0	 1	 0	 0	 1	 0	 0	 0	 0
zh	O	 19.23	 0	 1	 6	 0	 0	 1	 1	 0	 0	 0	 0	 0	 0	 1
zh	z	 2.44	 0	 1	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0
zh	ly	 5.56	 0	 1	 2	 0	 1	 0	 1	 0	 0	 0	 1	 0	 0	 0
zh	ch	 3.71	 0	 1	 0	 1	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0
zh	dzh	 2.48	 0	 1	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
zh	zh	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
zh	sh	 3.4	 0	 1	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0
sh	GAP	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
sh	u	 20.1	 0	 1	 5	 0	 0	 1	 1	 0	 1	 0	 0	 0	 0	 1
sh	l	 6.79	 0	 1	 2	 0	 1	 0	 1	 0	 1	 0	 1	 0	 0	 0
sh	t	 4.53	 0	 1	 0	 1	 1	 0	 1	 0	 0	 0	 0	 0	 0	 0
sh	i	 20.1	 0	 1	 5	 0	 0	 1	 1	 0	 1	 0	 0	 0	 0	 1
sh	m	 7.4	 0	 1	 1	 1	 1	 0	 1	 0	 1	 1	 0	 0	 0	 0
sh	s	 2.44	 0	 1	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0
sh	^	 20.46	 0	 1	 6	 0	 0	 1	 1	 0	 1	 0	 0	 0	 0	 1
sh	b	 5.76	 0	 1	 0	 1	 1	 0	 1	 0	 1	 0	 0	 0	 0	 0
sh	o	 20.46	 0	 1	 6	 0	 0	 1	 1	 0	 1	 0	 0	 0	 0	 1
sh	n	 7.4	 0	 1	 1	 1	 1	 0	 1	 0	 1	 1	 0	 0	 0	 0
sh	p	 4.53	 0	 1	 0	 1	 1	 0	 1	 0	 0	 0	 0	 0	 0	 0
sh	e	 20.46	 0	 1	 6	 0	 0	 1	 1	 0	 1	 0	 0	 0	 0	 1
sh	a	 20.82	 0	 1	 7	 0	 0	 1	 1	 0	 1	 0	 0	 0	 0	 1
sh	k	 4.53	 0	 1	 0	 1	 1	 0	 1	 0	 0	 0	 0	 0	 0	 0
sh	r	 6.53	 0	 1	 3	 0	 1	 0	 1	 0	 1	 0	 0	 0	 0	 0
sh	d	 5.76	 0	 1	 0	 1	 1	 0	 1	 0	 1	 0	 0	 0	 0	 0
sh	g	 5.76	 0	 1	 0	 1	 1	 0	 1	 0	 1	 0	 0	 0	 0	 0
sh	f	 4.22	 0	 1	 0	 0	 1	 0	 1	 0	 0	 0	 0	 0	 0	 0
sh	ng	 7.4	 0	 1	 1	 1	 1	 0	 1	 0	 1	 1	 0	 0	 0	 0
sh	O	 20.46	 0	 1	 6	 0	 0	 1	 1	 0	 1	 0	 0	 0	 0	 1
sh	z	 3.67	 0	 1	 0	 0	 1	 0	 0	 0	 1	 0	 0	 0	 0	 0
sh	ly	 6.79	 0	 1	 2	 0	 1	 0	 1	 0	 1	 0	 1	 0	 0	 0
sh	ch	 2.48	 0	 1	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
sh	dzh	 3.71	 0	 1	 0	 1	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0
sh	zh	 3.4	 0	 1	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0
sh	sh	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
